Batch_ID,Time,Flour (kg),Sugar (kg),Yeast (kg),Water (kg),Salt (kg),Mixer Speed (RPM),Mixing Time (min),Fermentation Temp (C),Oven Temp (C),Oven Humidity (%),Flour Protein (%)
1,0,9.893728483362462,5.00773445488405,2.0046497991134125,5.419722583893204,1.0084077435623973,146.71145489516098,35.836510890303416,35.007598189352976,183.61008596272012,45.20167037837894,10.942681079325284
1,1,9.829459871983293,4.919502300701292,1.9795374564295873,5.448236742690864,1.008217673289879,147.75419164154118,35.71696573190935,35.64816794637114,183.04338347693408,45.3280134242135,10.869258644853069
1,2,10.054416007256611,4.965021528362656,1.9688436588133742,5.554104089522395,1.0072520563178402,149.52311695609205,35.033063598387955,35.07004779806618,184.95882542133464,45.52132168718055,10.828663355051326
1,3,10.007628413311824,4.984317825357559,2.026455090181693,5.419272436054185,1.0101546614648327,151.61509300898308,35.27476236126937,35.020124642815915,179.32216511920632,44.63167471522123,10.766804298069536
1,4,9.977630652310387,4.94132963946288,2.0112719104618666,5.507419501174395,0.9923415241907981,150.92043654106058,35.31896362095117,35.64265474577044,182.6339326224555,45.75964955970573,10.767675800960742
1,5,10.072400092080429,4.964468326436611,1.9802847579499803,5.6151710699460775,1.0024912957547367,148.04354061279676,35.534886074625895,34.628381573923875,178.01106282339148,44.82660866908474,10.967790735480913
1,6,10.024362792637461,4.993863169818975,2.004243429754581,5.461013857100062,1.0035739591605755,149.09764602567486,35.60089920434678,35.26904334906839,177.30123420068142,45.2823870803588,11.027339435658506
1,7,9.852202175940057,4.947656215399922,1.9773283183463164,5.487215214142217,0.9953954482667785,150.20945389246123,35.012070900313766,35.131278047306694,180.63676907527815,44.81647732563214,11.00623863924709
1,8,9.944328896863649,5.037978730689146,1.9638870739930916,5.511507030392877,0.9913529182572999,150.3710109239192,34.72840026975585,35.00440122970819,182.68767935966915,44.85196728417141,11.072110582749422
1,9,10.0148929425601,4.946743057982344,1.9890251088907578,5.5380579487534005,1.0001418338030612,152.64150671532016,35.059541796485824,35.360339437196316,181.75089386796182,45.04166342888495,11.186803075783223
